"topics"	"Arun2010"	"CaoJuan2009"	"Griffiths2004"
4	2421.48546999819	0.359048093788077	-24169255.788658
5	2417.96733260521	0.358283467300024	-24041681.3864213
6	2338.86194769806	0.33296852152122	-23892190.2690774
7	2278.39019935658	0.278336679810616	-23378824.0373775
8	2180.45462316514	0.24206730159208	-23040150.3486893
9	2147.22070066377	0.23811360752053	-23001585.2306945
10	2099.95457294683	0.208367949304659	-22674468.5046084
11	2090.20284981856	0.200462627380707	-22603638.7440021
12	2044.79656591722	0.196992465502838	-22516467.2559228
13	2016.30700490892	0.20069151034636	-22451471.8273759
14	1999.0643368231	0.194383872971611	-22396827.7934962
15	1978.31631996569	0.19131498016152	-22393098.9307154
16	1950.45422959427	0.188318054588535	-22292143.7597603
17	1922.05401126203	0.179926876650162	-22203256.8288074
18	1887.78615193933	0.173651871022351	-22143981.9624484
19	1883.47469384078	0.166908865005646	-22035607.4829889
20	1866.88004983717	0.163524668472349	-21970718.766662
21	1883.04976644269	0.162121550429598	-22024421.9144467
22	1832.0723665907	0.158387019765759	-21890647.0158715
23	1843.40460444855	0.153789334775186	-21892514.1451224
24	1831.90837783639	0.156993847033993	-21894565.2997647
25	1803.20184373053	0.149348963349744	-21745451.8176369
26	1776.45915273888	0.143984532021719	-21676619.8294907
27	1795.30457064934	0.146059247826143	-21747047.0579329
28	1783.00707858482	0.141983285376553	-21648307.1056401
29	1757.52867557238	0.141068469094667	-21670104.3547345
30	1744.85487423997	0.135951716679889	-21596528.5714672
